window_index,start_time_sec,end_time_sec,rms_energy,zero_crossing_rate,spectral_centroid_hz,spectral_rolloff_hz,band_energy_0_500,band_energy_500_2000,band_energy_2000_5000,band_energy_5000_10000
151,7.55,7.65,12034.959155,0.013128,1224.25,1670.0,72155.118333,80459.068869,11615.98057,2939.611906
152,7.6,7.7,11410.093486,0.013753,1201.3,1670.0,72045.88089,73403.190108,12024.43207,3023.121218
153,7.65,7.75,10668.733697,0.012919,1954.53,2490.0,68989.347981,72531.31279,14561.617443,6940.953821
154,7.7,7.8,10924.492768,0.011877,1507.9,1820.0,72292.330989,58872.941905,10607.911895,3895.247217
155,7.75,7.85,10287.209173,0.014378,2436.59,4030.0,59115.925036,59831.775964,15035.028372,8290.169894
156,7.8,7.9,11480.317556,0.015212,1865.32,2300.0,73246.85937,77407.504897,14718.34379,6578.039972
157,7.85,7.95,11190.709037,0.01667,1017.47,1490.0,72063.335468,74411.047748,11952.084997,1876.668725
158,7.9,8.0,8471.726138,0.020629,1458.63,1820.0,54019.411576,66857.346884,10831.730028,3076.78944
159,7.95,8.05,7541.685362,0.021046,949.16,1480.0,49396.775245,59465.344353,8617.646919,971.297423
160,8.0,8.1,8238.730424,0.019587,1046.48,1510.0,55510.586472,69132.693022,11152.232289,1356.269934
161,8.05,8.15,10236.085744,0.017087,887.34,1500.0,68352.601604,74244.888117,11697.652624,1147.502226
162,8.1,8.2,12039.505874,0.013336,813.8,1440.0,76634.165515,69590.029137,9398.149615,1087.751892
163,8.15,8.25,12071.5663,0.015212,1534.24,1780.0,74769.921517,71840.352339,11035.839087,4593.503481
164,8.2,8.3,10786.670457,0.017087,1037.5,1480.0,65488.710402,74554.444116,10157.39426,1927.996467
165,8.25,8.35,9968.237514,0.015837,1315.02,1680.0,56607.896721,80280.800023,11888.109873,2859.599412
166,8.3,8.4,10183.964735,0.014795,1030.04,1470.0,64195.042231,76783.964571,9658.947726,1805.839617
167,8.35,8.45,10075.386586,0.015003,858.65,1550.0,69218.295262,65732.571168,11960.881671,1065.501556
168,8.4,8.5,10132.309518,0.014795,1150.47,1780.0,62642.416643,64007.544094,13483.078157,1985.487097
169,8.45,8.55,10380.708289,0.01417,937.32,1470.0,61605.630098,63466.5005,9796.148341,1334.592117
170,8.5,8.6,10262.290233,0.013544,1250.46,1570.0,65887.472178,57462.210224,9897.038297,2849.348544
171,8.55,8.65,10254.773199,0.013128,1426.67,1780.0,67036.496097,65586.569693,10828.631292,3400.131784
172,8.6,8.7,9734.770907,0.014586,1201.75,1670.0,59397.52233,76951.973918,10786.905915,2204.27906
173,8.65,8.75,9062.228882,0.017087,1008.41,1500.0,52379.588753,66647.784101,9114.996562,1384.652786
174,8.7,8.8,9981.661421,0.016879,967.33,1410.0,63774.251716,69125.64688,10471.223618,1558.9193
175,8.75,8.85,10261.63579,0.016879,961.81,1420.0,65777.632276,73395.906472,10838.108103,1560.796644
176,8.8,8.9,9387.520813,0.018754,975.86,1440.0,59934.624611,74754.608374,9882.371541,1327.23286
177,8.85,8.95,9457.906494,0.016879,1473.42,1750.0,56178.12006,75854.014699,11345.241412,3383.597646
178,8.9,9.0,11006.685295,0.015212,1466.15,1740.0,70848.821404,73236.471631,11368.690683,3982.047604
179,8.95,9.05,10576.984747,0.017712,1820.14,2190.0,63660.756623,72781.982196,12846.470023,5609.042449
180,9.0,9.1,9583.99151,0.017504,1269.74,1610.0,57915.19039,67777.790491,10652.046799,2473.575034
181,9.05,9.15,9355.036363,0.016253,1696.4,2030.0,61247.343792,63676.196223,11549.318621,4479.057341
182,9.1,9.2,10304.750994,0.014586,1447.71,1730.0,72695.975135,58282.257175,9991.417639,3680.334582
183,9.15,9.25,11312.243285,0.012503,1426.31,1730.0,71645.340368,53252.847559,8828.776567,3751.142276
184,9.2,9.3,9567.946939,0.015003,1756.56,2060.0,62010.10432,51387.045164,9501.718421,4713.04675
185,9.25,9.35,8884.642443,0.014378,1993.69,2630.0,59501.470031,46459.720993,9560.588003,5320.801368
186,9.3,9.4,10032.883234,0.013753,1104.48,1450.0,67073.202613,62427.786891,9475.097175,1940.827598
187,9.35,9.45,9774.05987,0.013961,1604.14,1940.0,63602.995016,68884.050845,11938.224522,4286.619815
188,9.4,9.5,10615.589911,0.011252,987.79,1470.0,69939.813682,51797.553989,8807.250554,1542.788378
189,9.45,9.55,10476.778017,0.012711,1785.95,2050.0,71491.818193,55633.869045,9922.061975,5284.098416
190,9.5,9.6,9212.291517,0.015003,919.96,1440.0,57894.908478,68174.090217,7709.833557,1068.523915
191,9.55,9.65,9951.013567,0.01542,908.39,1450.0,59156.802234,78903.276586,9357.437257,1330.747027
192,9.6,9.7,10097.656562,0.016045,990.21,1510.0,61229.06829,75182.101041,10039.985832,1551.360787
193,9.65,9.75,9063.211066,0.017087,1219.16,1650.0,58407.825311,60468.922502,9755.527862,2114.550027
194,9.7,9.8,7686.084278,0.017087,873.18,1520.0,48936.545255,59620.065873,8808.464021,714.564555
195,9.75,9.85,8887.062055,0.014378,1288.62,1630.0,55074.756649,66288.744688,8814.42571,2280.187059
196,9.8,9.9,10162.556079,0.013544,1360.05,1710.0,62258.797181,65352.957908,9704.304098,2832.790966
197,9.85,9.95,9622.346644,0.017295,1175.11,1620.0,59777.276834,69451.35817,9924.428619,2087.584262
198,9.9,10.0,8446.0943,0.01792,829.38,1440.0,54835.449307,59161.968854,8435.189401,971.459465
199,9.95,10.05,7781.078802,0.01542,901.03,1330.0,52532.82885,48278.641161,4243.749033,888.349578
200,10.0,10.1,8614.457705,0.013128,1651.49,1840.0,58506.795905,52073.47516,7812.263016,4000.640407
201,10.05,10.15,11182.412966,0.011461,1449.88,1660.0,61898.417431,58651.619788,8088.382049,3520.389167
202,10.1,10.2,10519.741506,0.013961,1336.69,1580.0,63180.216665,55462.988074,7577.684128,3061.846225
203,10.15,10.25,7749.170982,0.018962,1635.01,1800.0,51848.053691,53273.425022,7787.677761,3663.351635
204,10.2,10.3,8368.445874,0.020004,1028.66,1520.0,53075.971364,61364.145503,8966.772443,1493.56391
205,10.25,10.35,8203.778202,0.018337,950.27,1600.0,49375.094046,59989.311328,9816.571307,1277.796412
206,10.3,10.4,7760.085935,0.020421,1272.62,1610.0,47879.680816,67491.088995,9752.519803,2037.202584
207,10.35,10.45,8727.563767,0.022088,869.09,1460.0,52388.703223,77151.228949,9849.537932,835.467206
208,10.4,10.5,9103.679081,0.01667,1018.05,1430.0,58297.601181,61680.050543,8196.115298,1433.72515
209,10.45,10.55,8880.239383,0.012086,881.76,1390.0,59295.281461,55222.81788,8210.326166,902.905583
210,10.5,10.6,8910.909019,0.015212,1967.23,2500.0,57328.300355,52074.083719,10223.662868,5250.99563
211,10.55,10.65,8561.887445,0.016045,1139.94,1460.0,57365.26073,52977.78771,7611.152027,1760.184269
212,10.6,10.7,8086.760302,0.01417,1182.4,1500.0,52030.72764,52107.299677,7174.597667,1842.513602
213,10.65,10.75,8382.335159,0.013753,1410.43,1600.0,56639.422705,42635.632939,6248.194828,2742.427399
214,10.7,10.8,8130.208555,0.013753,859.96,1270.0,53268.522329,41182.868738,5753.574127,783.868723
215,10.75,10.85,8057.6873,0.014795,1911.18,2330.0,54885.229656,43649.806644,9309.974335,4803.159095
216,10.8,10.9,9007.703514,0.014378,1190.25,1530.0,56138.136,54704.814626,7395.281533,2115.976936
217,10.85,10.95,8900.482905,0.016045,1120.62,1360.0,56755.926651,59230.530225,6961.988953,1859.4647
218,10.9,11.0,8058.331168,0.018546,1102.77,1590.0,54561.053814,54725.083249,7770.271505,1501.878624
219,10.95,11.05,7628.243467,0.017504,1096.09,1620.0,49420.238159,54880.843416,7938.713527,1390.074015
220,11.0,11.1,8698.134913,0.017504,1456.83,1610.0,52966.697255,59000.938394,7720.264614,3098.113774
221,11.05,11.15,9196.610631,0.017504,1398.35,1590.0,57251.59854,68537.243307,8755.928768,3000.170106
222,11.1,11.2,8994.37069,0.015837,1410.66,1600.0,58286.813388,64858.536064,8569.607975,3031.342375
223,11.15,11.25,9144.989294,0.01542,1261.69,1580.0,54031.661315,58526.211883,8249.378994,2199.291261
224,11.2,11.3,9321.873247,0.014378,1223.08,1540.0,58233.850502,50634.715551,7669.892815,2160.715982
225,11.25,11.35,8577.781522,0.014378,1618.29,1760.0,57539.274908,45415.331529,6824.420393,3704.580895
226,11.3,11.4,7712.18056,0.015628,1546.28,1730.0,52912.716323,45849.583781,6805.565813,3224.895793
227,11.35,11.45,8813.371574,0.01417,773.38,1340.0,47203.107852,51825.276453,5501.283171,541.400779
228,11.4,11.5,8395.892661,0.013128,1173.01,1470.0,47790.953321,51117.758009,5627.289046,1795.868698
229,11.45,11.55,7098.738124,0.013961,958.33,1420.0,49278.538588,44943.458451,6253.076252,1062.603189
230,11.5,11.6,7066.42956,0.018754,1094.52,1490.0,48716.576637,46096.405017,6018.699479,1414.937699
231,11.55,11.65,6636.776451,0.020838,1554.27,1760.0,39505.034302,49444.632451,6164.286951,2722.186732
232,11.6,11.7,6372.301761,0.019379,1546.23,1790.0,41750.121036,44493.044837,6588.040968,2544.753327
233,11.65,11.75,7285.862222,0.018129,1469.41,1750.0,49293.639058,48130.6024,7377.820404,2682.859497
234,11.7,11.8,7152.157081,0.016253,803.97,1380.0,45952.737628,46219.506405,5450.127377,627.222482
235,11.75,11.85,6501.710705,0.015003,945.59,1390.0,43543.83656,41624.306836,5798.950924,803.778507
